平均價,新北市_風速,臺中市_風速,臺南市_風速,高雄市_風速,桃園市_風速,新竹縣_風速,苗栗縣_風速,南投縣_風速,彰化縣_風速,雲林縣_風速,嘉義市_風速,屏東縣_風速,宜蘭縣_風速,花蓮縣_風速,臺東縣_風速,color
39.81428571428571,1.0,0.3,3.1000000000000005,2.1,0.0,0.9000000000000001,0.4,0.0,0.0,0.6,1.8000000000000005,3.5,1.1,0.2,1.5,"rgb(78,246,177)"
35.4,0.7000000000000001,1.3,4.3,2.3000000000000003,0.2,2.1,1.4,0.0,0.1,0.6,2.8000000000000003,3.3000000000000003,1.1,0.7000000000000001,1.6999999999999995,"rgb(76,242,179)"
38.68571428571429,2.3000000000000003,2.6,5.0,2.3000000000000003,4.9,8.6,2.7,0.0,0.0,0.4,3.2,8.299999999999999,1.2,1.1,2.1,"rgb(95,234,160)"
37.957142857142856,1.2,1.6,4.3,2.2,3.9,4.0,1.4,0.0,0.1,0.5,2.8999999999999995,6.5,1.8000000000000005,0.6,2.0,"rgb(89,213,166)"
38.3,0.5,2.2,5.3,2.7,3.3999999999999995,2.8999999999999995,1.6999999999999995,0.0,0.1,0.5,3.2,3.6000000000000005,2.3000000000000003,0.7000000000000001,2.2,"rgb(77,223,178)"
37.871428571428574,0.7000000000000001,1.8000000000000005,4.2,2.3000000000000003,2.8999999999999995,2.2,1.2,0.1,0.1,0.4,3.1000000000000005,3.6000000000000005,2.0,1.1,2.0,"rgb(75,225,180)"
32.15,0.9,1.8,4.3,2.3,2.2,2.7,1.8,0.1,0.1,0.5,3.0,2.5,1.0,0.5,1.8,"rgb(49,227,206)"
36.3,0.7999999999999999,2.0,4.4,2.6,3.6000000000000005,3.7,1.9,0.0,0.1,0.4,3.0,2.5,2.0,1.0,1.9,"rgb(69,190,186)"
36.3,0.7999999999999999,3.0,5.3,2.8000000000000003,4.0,5.700000000000001,2.4,0.0,0.1,0.7000000000000001,3.9,4.9,1.3,1.1,1.5,"rgb(74,192,181)"
36.82857142857142,2.1,2.5,4.7,2.4,4.1000000000000005,7.5,2.3000000000000003,0.0,0.1,1.0,2.8000000000000003,6.799999999999999,1.6999999999999995,0.7000000000000001,1.9,"rgb(89,216,166)"
37.04285714285713,1.6999999999999995,1.3,3.8,2.1,2.8999999999999995,1.9,1.1,0.0,0.1,0.6,2.1,5.6000000000000005,0.7999999999999999,0.4,2.2,"rgb(89,224,166)"
36.74285714285714,0.3,2.5,5.0,2.4,3.3000000000000003,3.0,2.2,0.0,0.2,0.5,3.1000000000000005,2.8999999999999995,1.5,0.5,1.6,"rgb(73,191,182)"
